region,region_clean
Chingola (Zambian copper belt),Copperbelt
"Chingola - Kasumbalesa, Copperbelt Province",Copperbelt
Chingola District,Copperbelt
"Chingola District, Copperbelt",Copperbelt
Chingola district,Copperbelt
"Chingola district, Copperbelt Province",Copperbelt
"Chingola mining district, Copperbelt province",Copperbelt
Chingola region,Copperbelt
"Chingola region, Copperbelt Province",Copperbelt
"Chingola town, Copperbelt Province",Copperbelt
"Chingola town, the Copperbelt Province",Copperbelt
"Chingola, Chililabombwe and Nampundwe",Copperbelt
"Chingola, Chililabombwe, Copperbelt Province",Copperbelt
"Chingola, Chililabombwe, Kitwe, Nampundwe",Copperbelt
"Chingola, Chililabombwe, Kitwe, Nampundwe, Copperbelt",Copperbelt
"Chingola, Chililabombwe, Nampundwe and Kitwe",Copperbelt
"Chingola, Copperbelt",Copperbelt
"Chingola, Copperbelt Province",Copperbelt
"Chingola, Copperbelt province",Copperbelt
"Chingola, Copperbelt province; Solwezi, North-western province",Copperbelt
"Chingola, Luanshya",Copperbelt
Chingola; Chibombo District; Chirundu; Siavonga,Copperbelt
Chingola; Chililabombwe,Copperbelt
Chingola; Chililabombwe; Copperbelt,Copperbelt
Chingola; Chililabombwe; Copperbelt Province,Copperbelt
Chingola; Chililabombwe; Kitwe,Copperbelt
Chingola; Chililabombwe; Kitwe; Nampundwe,Copperbelt
Chingola; Chililabombwe; Nampundwe (Copperbelt),Copperbelt
Chingola; Copperbelt and Northwestern Provinces,Copperbelt
Chingola; Luanshya district,Copperbelt
Chingola; River Kafue,Copperbelt
Chingola; Zambian copper belt,Copperbelt
Chingola; copper belt,Copperbelt
Copper Belt,Copperbelt
Copper belt,Copperbelt
Copper belt Province,Copperbelt
CopperBelt province,Copperbelt
Copperbelt,Copperbelt
"Copperbelt (Chililabombwe, Chingola, Luanshya)",Copperbelt
"Copperbelt (Kitwe, Chingola, Mufulira, Ndola, Chililabonbwe)",Copperbelt
"Copperbelt (Kitwe, Ndola)",Copperbelt
Copperbelt (Mufulira and Kitwe divisions),Copperbelt
Copperbelt (outskirts of Chingola town),Copperbelt
Copperbelt Province,Copperbelt
Copperbelt Province (Chambishi MFEZ),Copperbelt
Copperbelt Province (Kitwe),Copperbelt
"Copperbelt Province (Kitwe, Mufulira)",Copperbelt
Copperbelt Province (Kitwe; Mufulira),Copperbelt
Copperbelt Province (Luanshya),Copperbelt
"Copperbelt Province, Chingola",Copperbelt
"Copperbelt Province, Ndola",Copperbelt
Copperbelt Province; Luanshya District,Copperbelt
Copperbelt Province; North-Western Province,Copperbelt
Copperbelt Province; North-Western Province; Chingola; Solwezi,Copperbelt
Copperbelt Province; North-Western Province; Southern Province,Copperbelt
Copperbelt and North western provinces,Copperbelt
Copperbelt and North-Western Province,Copperbelt
Copperbelt and North-Western provinces,Copperbelt
Copperbelt and North-western provinces,Copperbelt
Copperbelt and Northwestern,Copperbelt
Copperbelt and Northwestern Province,Copperbelt
Copperbelt mining region,Copperbelt
Copperbelt province,Copperbelt
Copperbelt region,Copperbelt
Copperbelt region (encompassing DR Congo and Zambia),Copperbelt
Copperbelt region / Chingola,Copperbelt
"Copperbelt, Chingola",Copperbelt
"Copperbelt, Southern and Northern provinces",Copperbelt
Copperbelt; Chingola; Chililabombwe; Kitwe; Nampundwe,Copperbelt
Copperbelt; Kitwe; Mufulira,Copperbelt
Copperbelt; Lusaka; Ndola; Solwezi,Copperbelt
Copperbelt; Mumbwa,Copperbelt
Copperbelt; North Western Province; Chingola,Copperbelt
Copperbelt; North Western provinces,Copperbelt
Copperbelt; North-Western Province,Copperbelt
Copperbelt; Solwezi; Kitwe; Mwinilunga; North Western Province,Copperbelt
Domes Region of the Zambian Copperbelt,Copperbelt
Domes region of the Zambian Copperbelt,Copperbelt
"Domes region, Zambian Copperbelt",Copperbelt
"Kabwe, Copperbelt",Copperbelt
Kabwe; Copperbelt; Kitwe; Mufulira; Chingola,Copperbelt
Kafue River basin; Kitwe,Copperbelt
Kalulushi,Copperbelt
"Kalulushi (Bwafwano area), Copperbelt",Copperbelt
Kalulushi District,Copperbelt
Kalulushi district,Copperbelt
"Kalulushi district, Copperbelt Province",Copperbelt
"Kalulushi district, Copperbelt province",Copperbelt
"Kalulushi, Copperbelt",Copperbelt
"Kalulushi, Copperbelt Province",Copperbelt
Kalumbila; Solwezi; Chingola,Copperbelt
"Kalusale, Chambishi, Copperbelt province",Copperbelt
"Kalusale, Chambishi, Kalulushi District, Copperbelt Province",Copperbelt
"Kapiri Mposh, copper belt",Copperbelt
"Kapiri Mposhi, Copperbelt",Copperbelt
Kasumbalesa,Copperbelt
Kasumbalesa border crossing,Copperbelt
Kasumbalesa border post,Copperbelt
"Kasumbalesa, Sakania, Mokambo",Copperbelt
Kasumbalesa; Mokambo; Sakania; Lubumbashi,Copperbelt
Kitwe,Copperbelt
Kitwe (Nkana West),Copperbelt
Kitwe (Nkana),Copperbelt
Kitwe (Wusakile and Chamboli Townships),Copperbelt
"Kitwe City, Copperbelt Province",Copperbelt
"Kitwe District, Copperbelt Province",Copperbelt
Kitwe West,Copperbelt
Kitwe and Luanshya,Copperbelt
Kitwe and Mufulira,Copperbelt
"Kitwe and Mufulira, Copperbelt Province",Copperbelt
Kitwe area,Copperbelt
Kitwe district,Copperbelt
Kitwe province,Copperbelt
"Kitwe, Chililabombwe, Chingola, Nkana, Nchanga",Copperbelt
"Kitwe, Copperbelt",Copperbelt
"Kitwe, Copperbelt Province",Copperbelt
"Kitwe, Copperbelt province",Copperbelt
"Kitwe, Copperbelt region",Copperbelt
"Kitwe, Mufulira, Copperbelt Province",Copperbelt
"Kitwe, northern Copperbelt",Copperbelt
Kitwe; Chingola; Kafue River,Copperbelt
Kitwe; Copperbelt,Copperbelt
Kitwe; Kafue; Chingola; Solwezi,Copperbelt
Kitwe; Luanshya; Kalumbila; Copperbelt Province; North-western province,Copperbelt
Kitwe; Lufwanyama,Copperbelt
Kitwe; Mindolo North; Copperbelt,Copperbelt
Kitwe; Mufulira,Copperbelt
Kitwe; Mufulira; Copperbelt Province,Copperbelt
Kitwe; Nkana; Mufulira,Copperbelt
Konkola,Copperbelt
Konkola East,Copperbelt
Konkola; Nchanga,Copperbelt
Luanshya,Copperbelt
Luanshya District,Copperbelt
"Luanshya District, Copperbelt Province",Copperbelt
Luanshya district,Copperbelt
"Luanshya district, Copperbelt Province",Copperbelt
"Luanshya district, Copperbelt province",Copperbelt
"Luanshya mining district, Copperbelt Province",Copperbelt
"Luanshya, Copperbelt",Copperbelt
"Luanshya, Copperbelt Province",Copperbelt
"Luanshya, Copperbelt province",Copperbelt
"Luanshya, Kitwe and Mufulira",Copperbelt
"Luanshya, Mufulira, Kalulushi",Copperbelt
Luanshya; Chambishi,Copperbelt
Luanshya; Roan,Copperbelt
Lufwanyama,Copperbelt
Lufwanyama District,Copperbelt
"Lufwanyama District, Copperbelt",Copperbelt
"Lufwanyama District, Copperbelt Province",Copperbelt
Lufwanyama district,Copperbelt
"Lufwanyama district, Copperbelt Province",Copperbelt
"Lufwanyama district, Copperbelt province",Copperbelt
"Lufwanyama, Copperbelt",Copperbelt
"Lufwanyama, Copperbelt Province",Copperbelt
Lufwanyama; Chingola; Solwezi; Mufulira; Copperbelt,Copperbelt
Lufwanyama; Kitwe; Copperbelt,Copperbelt
Lusaka; Copperbelt; Livingstone (Southern Province),Copperbelt
"Luyando Community, Copperbelt Province",Copperbelt
"Masaiti District, Copperbelt Province",Copperbelt
"Masaiti district, Copperbelt Province",Copperbelt
"Mindola West, Kitwe",Copperbelt
"Mindolo North, Kitwe, Copperbelt",Copperbelt
"Mindolo-North, Kitwe, Copperbelt Province",Copperbelt
Mkushi; Luanshya; Lumwana North; Lumwana South; Mwansa; Copperbelt,Copperbelt
Mufulira,Copperbelt
Mufulira District,Copperbelt
Mufulira and Kitwe,Copperbelt
"Mufulira and Kitwe, Copperbelt",Copperbelt
"Mufulira district, Copperbelt region",Copperbelt
"Mufulira, Copperbelt",Copperbelt
"Mufulira, Copperbelt Province",Copperbelt
"Mufulira, Kitwe, Chingola and Chililabombwe",Copperbelt
"Munkulungwe Ward, Ndola",Copperbelt
Mushili Lupili area of Ndola,Copperbelt
"Mushili Township, Ndola, Copperbelt Province",Copperbelt
Nchanga,Copperbelt
Nchanga South,Copperbelt
"Nchanga, Chingola",Copperbelt
Ndola,Copperbelt
"Ndola (Munkulungwe ward, BwanaMkubwa Constituency)",Copperbelt
Ndola District,Copperbelt
"Ndola city, Copperbelt Province",Copperbelt
"Ndola city, Copperbelt province",Copperbelt
"Ndola, Copperbelt",Copperbelt
"Ndola, Copperbelt Province",Copperbelt
"Ndola, Copperbelt province",Copperbelt
"Ndola, Copperbelt; North-Western province",Copperbelt
"Ndola, Zambia",Copperbelt
"Ndola, Zambian Copperbelt",Copperbelt
Ndola; Kitwe; Copperbelt Province,Copperbelt
Ndola; Solwezi; North-Western Province; Copperbelt,Copperbelt
Ndola; Solwezi; North-Western Province; Copperbelt Province,Copperbelt
Nkana,Copperbelt
Nkana and Mufulira,Copperbelt
North-Western Province; Copperbelt Province; Solwezi; Chingola,Copperbelt
"North-Western province, Copperbelt province",Copperbelt
"Samfya district, Luapula Province; Lufwanyama district, Copperbelt",Copperbelt
Sinazongwe; Mufulira; Solwezi,Copperbelt
Solwezi District; Mufulira District,Copperbelt
"Solwezi, Copperbelt",Copperbelt
"Solwezi, Copperbelt region",Copperbelt
Solwezi; Chingola,Copperbelt
Solwezi; Chingola; Copperbelt region,Copperbelt
Solwezi; Kalumbila; Ndola,Copperbelt
Western part of the Zambian Copperbelt,Copperbelt
"Wusakila township, Kitwe, Copperbelt Province",Copperbelt
"Wusakile Township, Kitwe, Copperbelt Province",Copperbelt
"Wusakile, Kitwe",Copperbelt
Zambia's copper belt,Copperbelt
Zambian Copper Belt,Copperbelt
Zambian Copper Belt (mid-way between Chililabombwe and Chingola),Copperbelt
Zambian Copper belt; Luanshya; Chililabombwe; Mpongwe,Copperbelt
Zambian Copperbelt,Copperbelt
Zambian Copperbelt (near Mufulira),Copperbelt
Zambian Copperbelt region,Copperbelt
Zambian copper belt,Copperbelt
Zambian copperbelt,Copperbelt
Zambia’s copper belt,Copperbelt
"['Copperbelt Province', 'North-Western Province']",Copperbelt
copper belt,Copperbelt
copper belt in Zambia,Copperbelt
copper belt region,Copperbelt
north-west of Zambia; Zambian Copperbelt,Copperbelt
"north-western province (Domes region, Copperbelt)",Copperbelt
northern copper belt,Copperbelt
northern copper belt region,Copperbelt
south of Kitwe,Copperbelt
the Copper Belt in southern DR Congo and northern Zambia,Copperbelt
western extension of the Zambian Copperbelt,Copperbelt
Chipata,Eastern
Chipata district,Eastern
"Chipata, Eastern Province",Eastern
City of Chipatan,Eastern
Eastern Province,Eastern
Eastern Province; Western Province; North Western Province,Eastern
Kasama; Northern Province; Luapula Province; Eastern Province,Eastern
"Lumezi district, Eastern Province",Eastern
Lundazi,Eastern
Lundazi; Luano and Luangwa Valleys,Eastern
"Lusangazi District, Eastern Province",Eastern
Northern Province; Luapula Province; Eastern Province,Eastern
Northern and Eastern provinces of Zambia,Eastern
Northern and Luapula provinces; Eastern Province,Eastern
"Nyimba, Petauke, Katete, sinda, Chadiza, Chipata, Mambwe, Lundazi, Chama (Eastern Part of Zambia); Luangwa, Rufunsa, Chongwe, Lusaka (Lusaka province); Chama district (Muchinga Province)",Eastern
"Petauke District; Lundazi District; Chipata, Eastern Province",Eastern
Petauke district,Eastern
Rufunsa District and Petauke,Eastern
Rufunsa and Petauke Districts,Eastern
Rufunsa; Mumbwa; Mwinilunga; Eastern Province,Eastern
Rufunsa; Vubwi; Lundazi; Eastern Province,Eastern
"Siavonga and Chirundu Districts, southeastern region of Zambia",Eastern
"['Luapula Province', 'Kabompo Dome', 'Choma Belt', 'Petauke', 'Lundazi', 'Kapiri Mposhi', 'Serenje', 'Southern Province', 'north-eastern Zambia']",Eastern
"Butete area, Mansa, Luapula Province",Luapula
"Chembe District, Luapula",Luapula
"Chembe District, Luapula Province",Luapula
"Chembe district, Luapula province",Luapula
"Chifunabuli District, Luapula Province",Luapula
"Kawambwa District, Luapula Province",Luapula
Luapula,Luapula
Luapula Province,Luapula
Luapula Province; Kabwe,Luapula
Luapula Province; Nchelenge; Mwansabombwe,Luapula
Luapula Province; Northern Province,Luapula
Luapula and Northern Provinces,Luapula
Luapula-Bangweulu area; Luwingu District; Southern Region,Luapula
"Mansa district, Luapula Province",Luapula
Mwense,Luapula
Northern and Luapula provinces,Luapula
Northwest Province; Luapula Province; Kabwe; Mwinilunga,Luapula
"Northwest Zambia (Northwest Province), Luapula Province; near Mwinilunga; Kabwe",Luapula
Samfya,Luapula
"Samfya district, Luapula Province",Luapula
125 kilometres west of Lusaka,Lusaka
22km west of Lusaka,Lusaka
Chilanga,Lusaka
"Chilanga district, Lusaka Province",Lusaka
Chongwe,Lusaka
Chongwe Constituency,Lusaka
Chongwe District,Lusaka
"Chongwe, Lusaka Province",Lusaka
Chongwe’s Mpande area,Lusaka
"Chunga Compound, Lusaka",Lusaka
Kabwe; Kitwe; Luanshya; Mufulira; Ndola; Kasama; Lusaka; Choma; Livingstone,Lusaka
Kafue,Lusaka
Kafue District,Lusaka
Kafue District; Nampundwe (Shibuyunji district),Lusaka
Kafue Flats,Lusaka
Kafue River,Lusaka
Kafue River Basin,Lusaka
Kafue River basin,Lusaka
Kafue River basin; Lusaka,Lusaka
"Kafue River, Lusaka",Lusaka
Kafue district,Lusaka
Kafue town,Lusaka
Kalumbila; Kitwe; Livingstone; Lusaka; Ndola; Solwezi,Lusaka
Kasempa region; Mingomba (near DRC border); Lusaka,Lusaka
LUSAKA,Lusaka
Lower Zambezi National Park,Lusaka
Lower Zambezi National park,Lusaka
"Lufunsa, Vubwi, Lwano, Petauke, Lusaka",Lusaka
Lusaka,Lusaka
Lusaka (Kenneth Kaunda International Airport),Lusaka
Lusaka East Forest Reserve Number 27,Lusaka
Lusaka Province,Lusaka
Lusaka South Multi Facility Economic Zone,Lusaka
Lusaka West,Lusaka
Lusaka province,Lusaka
"Lusaka, Kitwe",Lusaka
Lusaka; Kitwe; Mufulira,Lusaka
Lusaka; Mumbwa; Lower Zambezi; Mfuwe,Lusaka
"Mwalusoke village, Chasha area, Chongwe district",Lusaka
"Nampundwe, Sibuyunji district, Lusaka Province",Lusaka
River Kafue,Lusaka
Serenje–Mpika (Dar es Salaam corridor); Lusaka; Nakonde,Lusaka
"Shimabala area, Kafue district",Lusaka
Siavonga; Kafue; Luangwa; Deka; Gwai,Lusaka
located 22km west of Lusaka in Zambia,Lusaka
"north of the capital, Lusaka",Lusaka
northwest region; Lusaka,Lusaka
"Lavushimanda District, Muchinga Province",Muchinga
"Mpika District, Muchinga Province",Muchinga
Mpika district,Muchinga
Muchinga Province,Muchinga
"Muchinga Province, Chinsali District",Muchinga
Nakonde,Muchinga
"Nakonde district, Muchinga Province",Muchinga
"Nakonde, Muchinga Province",Muchinga
"Nakonde, Muchinga province",Muchinga
Western Province; Muchinga Province,Muchinga
"Chingola-Solwezi highway, North-Western Province",North-Western
"Dengwe, Kasempa District",North-Western
"Kabitaka south, Solwezi district",North-Western
Kabompo Dome,North-Western
"Kabompo district, North-western province",North-Western
Kabompo sub-basin,North-Western
Kalumbila,North-Western
Kalumbila District,North-Western
Kalumbila District in Northwestern province,North-Western
"Kalumbila District, North Western Province",North-Western
"Kalumbila District, North-Western Province",North-Western
Kalumbila District; Solwezi District; North Western Province,North-Western
Kalumbila district,North-Western
Kalumbila district (Kakahindu community),North-Western
Kalumbila district of North-western province,North-Western
"Kalumbila district, North Western Province",North-Western
"Kalumbila district, North-Western Province",North-Western
"Kalumbila district, North-western province",North-Western
"Kalumbila district, Northwestern province",North-Western
Kalumbila district; Northwestern province,North-Western
"Kalumbila, North-Western Province",North-Western
"Kalumbila, North-western Province",North-Western
Kasempa,North-Western
Kasempa District,North-Western
"Kasempa district, North-western Province",North-Western
"Kikonge, Mufumbwe district, Northwestern Province",North-Western
Kitwe; Mufulira; Mwinilunga district (North Western Province),North-Western
Lumwana Township,North-Western
"Lumwana West, north-western Zambia",North-Western
"Mufumbwe District, North Western Province",North-Western
"Mufumbwe District, North-Western Province",North-Western
"Mufumbwe district, North Western province",North-Western
"Mufumbwe, North Western Province",North-Western
"Mufumbwe, North-Western Province",North-Western
Mufumbwe; Kasempa,North-Western
"Mumbwa District; Mwinilunga, Northwestern Zambia",North-Western
Mwinilunga,North-Western
Mwinilunga (North-Western Province),North-Western
Mwinilunga District,North-Western
"Mwinilunga District, North-Western Province",North-Western
"Mwinilunga District, Northwestern Province",North-Western
Mwinilunga district,North-Western
"Mwinilunga district, North Western Province",North-Western
"Mwinilunga district, North-Western Province",North-Western
"Mwinilunga district, North-Western province",North-Western
"Mwinilunga district, Northwestern Province",North-Western
"Mwinilunga, North Western Province",North-Western
"Mwinilunga, North-Western Province",North-Western
North Western Province,North-Western
"North Western Province, Chavuma District",North-Western
"North Western Province, Solwezi District",North-Western
North Western province,North-Western
North western province,North-Western
North-Western Province,North-Western
North-Western Province (Solwezi and Kalumbila Districts),North-Western
"North-Western Province, Solwezi",North-Western
North-Western Zambia,North-Western
North-Western province,North-Western
"North-Western province, Lyovu rural district",North-Western
North-western Province,North-Western
North-western Province (Solwezi and Kalumbila districts),North-Western
North-western province,North-Western
NorthWestern Province,North-Western
Northwest Zambia,North-Western
Northwestern Province,North-Western
"Northwestern Province, Solwezi",North-Western
Northwestern Zambia,North-Western
Solwezi,North-Western
Solwezi District,North-Western
"Solwezi District, North-Western Province",North-Western
"Solwezi District, Northwestern province",North-Western
Solwezi Dome (Domes Region),North-Western
Solwezi North Western Province,North-Western
"Solwezi and Kalumbila districts, North-Western Province",North-Western
"Solwezi and Kalumbila districts, North-Western Zambia",North-Western
"Solwezi, North Western Province",North-Western
"Solwezi, North-Western Province",North-Western
"Solwezi, North-western Province",North-Western
"Solwezi, Northwestern Province",North-Western
"Solwezi, Northwestern province",North-Western
"Solwezi, north-western province",North-Western
Solwezi; Kalumbila,North-Western
Solwezi; Kalumbila districts,North-Western
"Western Foreland, northwestern Zambia",North-Western
Zambezi District in Northwestern province,North-Western
"near Solwezi; Kalumbila, North-Western province",North-Western
north western Zambia,North-Western
north-western Province,North-Western
north-western Zambia,North-Western
north-western part of the Republic of Zambia,North-Western
north-western province,North-Western
northwest Zambia,North-Western
northwestern Zambia,North-Western
northwestern part of the country,North-Western
northwestern part of the country in the upper Zambezi river basin,North-Western
northwestern province,North-Western
northwestern province of Zambia,North-Western
"northwestern, copper-producing region",North-Western
Kasama,Northern
"Kasama District, Northern Province",Northern
"Kasama district, Northern Province",Northern
Northern Province,Northern
Northern Rhodesia,Northern
Northern Zambia,Northern
Northern parts of the country,Northern
northern Zambia,Northern
northern region,Northern
northwestern Zambia / northern Zambia,Northern
Bweengwa River (35km north of Monze),Southern
"Chief Mukuni area of Kazungula district, Southern Province",Southern
"Chikankata District, Southern Province",Southern
"Chilobe Village, Simwatachela Chiefdom, Zimba district, Southern Province",Southern
Chirundu,Southern
Chirundu; Kariba Valley; Mutanga,Southern
Chirundu; Kariba Valley; Mutanga Project,Southern
Dibwe East; Hachibozu; Chirundu,Southern
"Kafue, southern Zambia",Southern
Kazungula,Southern
Kazungula district,Southern
"Kazungula, Southern Province",Southern
Livingstone,Southern
"Maamba, Sinazongwe District, Southern Province",Southern
"Mapatizya, Zimba District, Southern Region",Southern
Mazabuka District,Southern
"Mazabuka and Magoye, Southern Province",Southern
"Mazabuka, Southern Province",Southern
Mutanga; Chirundu; Kariba Valley,Southern
"Nkandabwe, Sinazongwe district",Southern
Siavonga and Chirundu Districts,Southern
"Sinazeze, Sinazongwe District, Southern Province",Southern
Sinazongwe,Southern
Sinazongwe District,Southern
"Sinazongwe District, Southern Province",Southern
"Sinazongwe District, Southern province",Southern
Sinazongwe district,Southern
Sinazongwe district of Southern province,Southern
"Sinazongwe district, southern province",Southern
"Sinazongwe, Southern Province",Southern
Southern Province,Southern
"Southern Province, Choma",Southern
Southern Province; Sinazongwe district; Choma,Southern
Southern province,Southern
Vubwi and Lundazi districts in the southern part of the country,Southern
"near the town of Kafue (Kafue Gorge), southern Zambia",Southern
southern Zambia,Southern
southern part of the country,Southern
"Kafue and Sesheke districts, Western Province",Western
"Kalumbila District, North -western Province",Western
Kaoma district,Western
Mongu,Western
Northwest region (Western Foreland),Western
Western Foreland district of NW Zambia,Western
western Zambia,Western
Barosteland,
Barotseland,
Beira Corridor,
Bwana Mkubwa,
Chama pit,
"Cheyeza (tenement area including Cheyeza, Nkwazhi, Fwiji, Nyambwezu, Lumbeta)",
Cheyeza East,
"Chiadzwa, Manicaland",
"Chinyongola, Chibombo District",
"Chipembi area, Chisamba District",
Chisamba,
Chisamba district,
Copper-belt,
Domes Region,
East Zambia,
Fipe area at Shinkole village in Senior Chief Mwewa’s area,
Great Lakes region,
"Hippo Pool, Kakosa, Shimulala and Hellen",
Ibex Hill,
Jimbe,
Kafubu area,
Kafubu river,
Kakosa,
Kalengwa,
Kalulishi,
Kalusale,
Kalusale community,
Kansanshi,
Kapiri-Mposhi,
Kariba,
Kariba Dam,
Kasaba Bay,
Katanga province,
Kenneth Kaunda Airport,
Kenneth Kaunda International Airport (KKIA),
Kwa-Zulu Natal province,
Lake Tanganyika,
Lower Zambezi,
Lower Zambezi park,
Lower Zambezi valley,
"Luangwa district, Lower Zambezi",
Luano District,
Lukanga swamps; Zambezi floodplain,
Lumezi district,
Lumwana,
Lumwana West,
Mabiza,
Magoye,
Manyinga,
"Mbuzi Village, Lumezi District",
Mfuwe,
Mpumalanga Highveld region,
Mufumbwe,
Mufumbwe District,
Mufumbwe district,
Munkoyo,
Mutare,
Mwenda,
Nampundwe,
North Luangwa,
North West Province,
North-West Zambia,
Northwest Province,
Northwest province,
Nyungu,
Republic of Zambia,
Roan Constituency,
Roan constituency,
Rufunsa,
Rufunsa district,
Shimabala,
"Shimulala, Kakosa, Hippo Pool and Hellen",
Shiwang'andu District,
Siavonga,
Sikoongo Village and Dambilo community,
"Sub-Chief Kunda-Mfumu chiefdom, Chembe district",
Tete,
Waisha,
Zambezi,
Zambezi Game Park,
Zambia,
Zambian Copper-belt,
Zambia’s copper-belt,
"Zimba, Kankoyo constituency",
"Zumwanda area, Lumezi District",
all the ten provinces,
copper-belt,
copper-belt of Zambia,
copper-belt province,
copper-belt region,
immediately north of Kariba,
near Lake Tanganyika,
north-west Zambia,
northwest of the country,
south of the nation,
